batch,repo,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact
,pandasai_g41,pandasai_g41,415,0.6167,0.7709,0.547,0.6837,0.2,0.6389,0.5781,0.5855,0.6333,,0.625,0.4609,0.2692,0.2,,50,1,0.4408,0.4453,0.2895,0.2888
,pandasai_g41_2,pandasai_g41_2,415,0.5902,0.7876,0.5229,0.6977,0.2506,0.5998,0.5781,0.547,0.6333,,0.5859,0.4609,0.2692,0.2,,50,1,0.432,0.4379,0.2895,0.2888
,pandasai_gem25,pandasai_gem25,415,0.7314,0.9034,0.6434,0.7946,0.1904,0.7019,0.7602,0.8462,0.9083,,0.6523,0.6406,0.6154,0.4,,50,1,0.6678,0.6831,0.5132,0.5335
,pandasai_gem25_2,pandasai_gem25_2,415,0.7314,0.9034,0.6434,0.7946,0.1904,0.7019,0.7602,0.8462,0.9083,,0.6523,0.6406,0.6154,0.4,,50,0,0.6678,0.6831,0.5132,0.5335
,pandasai_ll,pandasai_ll,415,0.6718,0.8994,0.6,0.8032,0.253,0.6799,0.6505,0.6695,0.8167,,0.6602,0.5391,0.3462,0.4,,50,1,0.4959,0.5161,0.3421,0.3588
,pandasai_ll_2,pandasai_ll_2,415,0.6717,0.8991,0.5976,0.8,0.253,0.676,0.6564,0.6763,0.8167,,0.6562,0.5391,0.3462,0.4,,50,1,0.4909,0.5119,0.3355,0.3533
,rich_c37,rich_c37,804,0.795,0.9788,0.7687,0.9788,0.1878,0.8058,0.7755,0.6867,1.0,,0.7896,0.724,0.6522,1.0,,2,12,0.6896,0.7006,0.5956,0.609
,rich_c37_2,rich_c37_2,804,0.734,0.9803,0.7102,0.9803,0.2512,0.741,0.7212,0.6432,1.0,,0.7248,0.6787,0.6087,1.0,,2,11,0.6318,0.6375,0.5378,0.5482
,rich_c4,rich_c4,804,0.6052,0.9636,0.5796,0.9636,0.3719,0.6502,0.4946,0.5565,0.75,,0.6331,0.4525,0.4783,0.75,,2,0,0.5087,0.5176,0.3811,0.4024
,rich_c4_2,rich_c4_2,804,0.6062,0.9651,0.5808,0.9651,0.3719,0.6502,0.4979,0.5565,0.75,,0.6331,0.457,0.4783,0.75,,2,0,0.5087,0.52,0.3811,0.4048
,rich_g41,rich_g41,804,0.3838,0.905,0.3545,0.8358,0.5759,0.4245,0.2745,0.3478,0.9844,,0.4083,0.2262,0.2174,0.75,,2,0,0.2897,0.2867,0.1578,0.1675
,rich_g41_2,rich_g41_2,804,0.3838,0.905,0.3545,0.8358,0.5759,0.4245,0.2745,0.3478,0.9844,,0.4083,0.2262,0.2174,0.75,,2,2,0.2897,0.2867,0.1578,0.1675
,rich_gem25,rich_gem25,804,0.4442,0.9679,0.4229,0.9214,0.541,0.4712,0.3673,0.4348,1.0,,0.455,0.3348,0.3913,1.0,,2,3,0.4156,0.4169,0.3133,0.3245
,rich_gem25_2,rich_gem25_2,804,0.4358,0.9653,0.4117,0.9118,0.5485,0.4712,0.3514,0.2935,1.0,,0.455,0.3167,0.1739,1.0,,2,1,0.4006,0.4033,0.2867,0.3004
,rich_ll,rich_ll,804,0.4009,0.9426,0.3657,0.8596,0.5746,0.3975,0.3951,0.5345,0.4375,,0.3813,0.3258,0.4348,0.0,,2,5,0.3873,0.3853,0.2722,0.2728
,rich_ll_2,rich_ll_2,804,0.4013,0.9378,0.3644,0.8517,0.5721,0.3957,0.4018,0.5237,0.4375,,0.3795,0.3303,0.3913,0.0,,2,3,0.3856,0.3838,0.2656,0.2667
